County,Population,Area
ADAMS,20875,1672
ASHLAND,16157,2707
BARRON,45870,2234
BAYFIELD,15014,3828
BROWN,248007,1372
BUFFALO,13587,1740
BURNETT,15457,2129
CALUMET,48971,824
CHIPPEWA,62415,2612
CLARK,34690,3133
COLUMBIA,56833,1983
CRAWFORD,16644,1478
DANE,488073,3101
DODGE,88759,2268
DOOR,27785,1248
DOUGLAS,44159,3378
DUNN,43857,2202
EAU,98736,1652
FLORENCE,4423,1264
FOND,101633,1864
FOREST,9304,2626
GRANT,51208,2970
GREEN,36842,1512
GREEN,19051,905
IOWA,23687,1975
IRON,5916,1964
JACKSON,20449,2558
JEFFERSON,83686,1441
JUNEAU,26664,1986
KENOSHA,166426,704
KEWAUNEE,20574,887
LA,114638,1170
LAFAYETTE,16836,1641
LANGLADE,19977,2255
LINCOLN,28743,2277
MANITOWOC,81442,1526
MARATHON,134063,4001
MARINETTE,41749,3624
MARQUETTE,15404,1180
MENOMINEE,4232,926
MILWAUKEE,947735,625
MONROE,44673,2333
OCONTO,37660,2585
ONEIDA,35998,2883
OUTAGAMIE,176695,1651
OZAUKEE,86395,604
PEPIN,7469,601
PIERCE,41019,1486
POLK,44205,2367
PORTAGE,70019,2074
PRICE,14159,3249
RACINE,195408,861
RICHLAND,18021,1518
ROCK,160331,1860
RUSK,14755,2366
SAUK,61976,2152
SAWYER,16557,3256
SHAWANO,41949,2313
SHEBOYGAN,115507,1324
ST.,84345,1871
TAYLOR,20689,2525
TREMPEALEAU,28816,1898
VERNON,29773,2050
VILAS,21430,2219
WALWORTH,102228,1438
WASHBURN,15911,2065
WASHINGTON,131887,1116
WAUKESHA,389891,1423
WAUPACA,52410,1937
WAUSHARA,24496,1622
WINNEBAGO,166994,1125
WOOD,74749,2054
