id,Geographic Area Name,Estimate!!Total!!Population for whom poverty status is determined,Estimate!!Below poverty level!!Population for whom poverty status is determined,Estimate!!Percent below poverty level!!Population for whom poverty status is determined
0500000US55001,"Adams County, Wisconsin",18940,2794,14.8
0500000US55003,"Ashland County, Wisconsin",15088,2161,14.3
0500000US55005,"Barron County, Wisconsin",44390,5311,12
0500000US55007,"Bayfield County, Wisconsin",14838,1712,11.5
0500000US55009,"Brown County, Wisconsin",252305,26047,10.3
0500000US55011,"Buffalo County, Wisconsin",13049,1224,9.4
0500000US55013,"Burnett County, Wisconsin",15065,2050,13.6
0500000US55015,"Calumet County, Wisconsin",49512,2826,5.7
0500000US55017,"Chippewa County, Wisconsin",60842,6617,10.9
0500000US55019,"Clark County, Wisconsin",33882,4282,12.6
0500000US55021,"Columbia County, Wisconsin",55391,4522,8.2
0500000US55023,"Crawford County, Wisconsin",15553,1998,12.8
0500000US55025,"Dane County, Wisconsin",515842,61414,11.9
0500000US55027,"Dodge County, Wisconsin",83093,7217,8.7
0500000US55029,"Door County, Wisconsin",27101,2236,8.3
0500000US55031,"Douglas County, Wisconsin",42212,5285,12.5
0500000US55033,"Dunn County, Wisconsin",40777,5050,12.4
0500000US55035,"Eau Claire County, Wisconsin",98861,14271,14.4
0500000US55037,"Florence County, Wisconsin",4271,420,9.8
0500000US55039,"Fond du Lac County, Wisconsin",98994,8920,9
0500000US55041,"Forest County, Wisconsin",8769,1426,16.3
0500000US55043,"Grant County, Wisconsin",48101,7135,14.8
0500000US55045,"Green County, Wisconsin",36313,2768,7.6
0500000US55047,"Green Lake County, Wisconsin",18498,2049,11.1
0500000US55049,"Iowa County, Wisconsin",23335,1806,7.7
0500000US55051,"Iron County, Wisconsin",5570,822,14.8
0500000US55053,"Jackson County, Wisconsin",19216,2274,11.8
0500000US55055,"Jefferson County, Wisconsin",81373,7282,8.9
0500000US55057,"Juneau County, Wisconsin",24796,3561,14.4
0500000US55059,"Kenosha County, Wisconsin",163655,22308,13.6
0500000US55061,"Kewaunee County, Wisconsin",20149,1703,8.5
0500000US55063,"La Crosse County, Wisconsin",112717,14874,13.2
0500000US55065,"Lafayette County, Wisconsin",16568,1782,10.8
0500000US55067,"Langlade County, Wisconsin",18856,2643,14
0500000US55069,"Lincoln County, Wisconsin",27087,2474,9.1
0500000US55071,"Manitowoc County, Wisconsin",78405,8303,10.6
0500000US55073,"Marathon County, Wisconsin",133271,12468,9.4
0500000US55075,"Marinette County, Wisconsin",39517,5236,13.2
0500000US55077,"Marquette County, Wisconsin",14914,1702,11.4
0500000US55078,"Menominee County, Wisconsin",4515,1474,32.6
0500000US55079,"Milwaukee County, Wisconsin",932301,185627,19.9
0500000US55081,"Monroe County, Wisconsin",44587,5716,12.8
0500000US55083,"Oconto County, Wisconsin",37122,3481,9.4
0500000US55085,"Oneida County, Wisconsin",34638,2981,8.6
0500000US55087,"Outagamie County, Wisconsin",181269,15545,8.6
0500000US55089,"Ozaukee County, Wisconsin",86666,4679,5.4
0500000US55091,"Pepin County, Wisconsin",7149,903,12.6
0500000US55093,"Pierce County, Wisconsin",38861,3791,9.8
0500000US55095,"Polk County, Wisconsin",42733,4190,9.8
0500000US55097,"Portage County, Wisconsin",67250,8427,12.5
0500000US55099,"Price County, Wisconsin",13247,1566,11.8
0500000US55101,"Racine County, Wisconsin",190057,22913,12.1
0500000US55103,"Richland County, Wisconsin",17188,2377,13.8
0500000US55105,"Rock County, Wisconsin",158339,21507,13.6
0500000US55107,"Rusk County, Wisconsin",13909,1962,14.1
0500000US55109,"St. Croix County, Wisconsin",86973,3874,4.5
0500000US55111,"Sauk County, Wisconsin",62601,6520,10.4
0500000US55113,"Sawyer County, Wisconsin",15922,2760,17.3
0500000US55115,"Shawano County, Wisconsin",40147,4071,10.1
0500000US55117,"Sheboygan County, Wisconsin",111999,8540,7.6
0500000US55119,"Taylor County, Wisconsin",20046,2009,10
0500000US55121,"Trempealeau County, Wisconsin",28930,2480,8.6
0500000US55123,"Vernon County, Wisconsin",30107,4995,16.6
0500000US55125,"Vilas County, Wisconsin",21343,2910,13.6
0500000US55127,"Walworth County, Wisconsin",100071,11689,11.7
0500000US55129,"Washburn County, Wisconsin",15437,2050,13.3
0500000US55131,"Washington County, Wisconsin",133462,6465,4.8
0500000US55133,"Waukesha County, Wisconsin",393571,19190,4.9
0500000US55135,"Waupaca County, Wisconsin",49730,5303,10.7
0500000US55137,"Waushara County, Wisconsin",22801,2580,11.3
0500000US55139,"Winnebago County, Wisconsin",161777,19184,11.9
0500000US55141,"Wood County, Wisconsin",72349,7488,10.3
